group,type,duration,from,to,comment
,Side Projects,00:00:07,04-Aug-2022 09:58:38 am,04-Aug-2022 09:58:45 am,
,Side Projects,00:08:14,04-Aug-2022 09:50:24 am,04-Aug-2022 09:58:38 am,
,Time Tracker Project1,00:14:03,04-Aug-2022 08:45:24 am,04-Aug-2022 08:59:27 am,
,Morning Routine5,00:18:48,04-Aug-2022 08:26:36 am,04-Aug-2022 08:45:24 am,
,Relax,00:32:17,04-Aug-2022 07:54:16 am,04-Aug-2022 08:26:33 am,
,Stretch,00:16:34,04-Aug-2022 07:37:38 am,04-Aug-2022 07:54:12 am,
,Run,00:48:38,04-Aug-2022 06:48:58 am,04-Aug-2022 07:37:36 am,
,"Chores ",00:13:41,04-Aug-2022 06:35:07 am,04-Aug-2022 06:48:48 am,"Learn how to use earbuds "
,"Chores ",00:33:49,04-Aug-2022 06:00:07 am,04-Aug-2022 06:33:56 am,"Check emails 
Explore Microsoft Alumni Network "
,Morning Routine2,00:29:28,04-Aug-2022 05:30:39 am,04-Aug-2022 06:00:07 am,
,Sleep,04:55:12,04-Aug-2022 12:35:27 am,04-Aug-2022 05:30:39 am,
Media,Movie,01:23:00,03-Aug-2022 11:11:21 pm,04-Aug-2022 12:34:21 am,"The Godfather "
,Board Games,01:00:00,03-Aug-2022 10:11:21 pm,03-Aug-2022 11:11:21 pm,"Hanabi "
,Time Tracker Project,02:23:34,03-Aug-2022 07:47:47 pm,03-Aug-2022 10:11:21 pm,
,Routine,00:33:11,03-Aug-2022 07:10:20 pm,03-Aug-2022 07:43:31 pm,"Shaving "
,"Chores ",00:41:49,03-Aug-2022 06:28:31 pm,03-Aug-2022 07:10:20 pm,
,Youtube,01:00:00,03-Aug-2022 05:28:31 pm,03-Aug-2022 06:28:31 pm,
,Time Tracker Project,04:01:00,03-Aug-2022 01:27:31 pm,03-Aug-2022 05:28:31 pm,
,Relax,00:28:43,03-Aug-2022 12:58:48 pm,03-Aug-2022 01:27:31 pm,
,Audiobook,01:12:36,03-Aug-2022 11:45:49 am,03-Aug-2022 12:58:25 pm,
,Sleep,09:45:00,03-Aug-2022 02:00:49 am,03-Aug-2022 11:45:49 am,
,Social Chill Time,06:16:00,02-Aug-2022 07:44:49 pm,03-Aug-2022 02:00:49 am,With fam
,Social Chill Time,01:10:46,02-Aug-2022 06:34:03 pm,02-Aug-2022 07:44:49 pm,Help Amma / Chitti with packing
,Relax,03:30:24,02-Aug-2022 03:03:39 pm,02-Aug-2022 06:34:03 pm,
,Tasks,00:42:06,02-Aug-2022 02:21:33 pm,02-Aug-2022 03:03:39 pm,"Check email "
,Morning Routine,00:39:15,02-Aug-2022 01:41:54 pm,02-Aug-2022 02:21:09 pm,
,Walk,00:48:35,02-Aug-2022 12:53:19 pm,02-Aug-2022 01:41:54 pm,
,Run,00:33:14,02-Aug-2022 12:20:05 pm,02-Aug-2022 12:53:19 pm,
,Prep,00:24:48,02-Aug-2022 11:55:17 am,02-Aug-2022 12:20:05 pm,"For run "
,Tasks,00:18:27,02-Aug-2022 11:36:50 am,02-Aug-2022 11:55:17 am,Buy drivers license
,Sleep,08:27:44,02-Aug-2022 03:05:48 am,02-Aug-2022 11:33:32 am,
,Prep,04:29:35,01-Aug-2022 10:36:05 pm,02-Aug-2022 03:05:40 am,
Skills,Music Practice,00:37:07,01-Aug-2022 09:58:27 pm,01-Aug-2022 10:35:34 pm,
,Sleep,02:00:28,01-Aug-2022 07:57:54 pm,01-Aug-2022 09:58:22 pm,
,Tasks,03:37:18,01-Aug-2022 04:20:36 pm,01-Aug-2022 07:57:54 pm,"Buy Apple Watch charger and help appa clean garage "
,"Workish ",00:20:57,01-Aug-2022 03:54:50 pm,01-Aug-2022 04:15:47 pm,
,Tasks,01:58:00,01-Aug-2022 01:56:50 pm,01-Aug-2022 03:54:50 pm,
Skills,Music Practice,00:21:05,01-Aug-2022 01:35:43 pm,01-Aug-2022 01:56:48 pm,
,Prep,00:07:39,01-Aug-2022 01:27:43 pm,01-Aug-2022 01:35:22 pm,
,Morning Routine,00:59:55,01-Aug-2022 12:27:40 pm,01-Aug-2022 01:27:35 pm,
,Sleep,09:46:00,01-Aug-2022 02:41:40 am,01-Aug-2022 12:27:40 pm,
Skills,Music Practice,03:00:00,31-Jul-2022 11:41:16 pm,01-Aug-2022 02:41:16 am,